content,rating,at,bank,sentiment,sentiment_score
"The worst app update ever. Why would you include the ""developer option off"" thing here? Why do you care? It is my phone my money, right? That is the reason why I switched to other banks. So either turn it off or everyone will discontinue their business one by one.",1,2024-11-17 19:11:45,BOA,Negative,-0.3485
Very good,5,2024-11-14 12:52:39,BOA,Positive,0.4927
One of the poorest mobile banking system,1,2024-11-13 10:35:40,BOA,Negative,-0.5423
❤❤❤❤❤❤,5,2024-11-12 18:39:07,BOA,Neutral,0.0
Oene,5,2024-11-12 14:20:14,BOA,Neutral,0.0
i find it interesting specially in reciept downloading,1,2024-11-12 13:43:41,BOA,Positive,0.4019
it good,5,2024-11-12 12:50:38,BOA,Positive,0.4404
"This app crashes everytime, please fix it",1,2024-11-12 12:08:59,BOA,Positive,0.3182
አንድ star ራሱ ይበዛበታል። i dont recomend to use this app also the bank,1,2024-11-12 10:55:52,BOA,Neutral,0.0
I need a support the app is not working,5,2024-11-12 10:10:33,BOA,Positive,0.4019
Bast bank of ethiopia,5,2024-11-12 10:01:11,BOA,Neutral,0.0
Good,5,2024-11-12 09:45:45,BOA,Positive,0.4404
very slow app. አቢሲኒያን ከሚያክል ባንክ የማይጠበቅ software app. ከቻላችሁ ሙሉ ለሙሉ እንደገና አሰሩት።በጣም ይመራያል ያሳፍራል።ለapp የወጣው ወጭ በሙስና የተበላ ነው የሚመስለው።,1,2024-11-12 09:15:50,BOA,Neutral,0.0
"thank you for your social services like, vertual banking, non touch ATM, Cadrless and withdrwal with out passbook...",5,2024-11-12 09:13:20,BOA,Positive,0.6124
The worst App i have never seen like this before,1,2024-11-12 08:48:40,BOA,Negative,-0.7359
Wweeeer,4,2024-11-12 07:21:44,BOA,Neutral,0.0
Infinx,5,2024-11-12 06:52:38,BOA,Neutral,0.0
Great service,5,2024-11-12 04:17:47,BOA,Positive,0.6249
👍,5,2024-11-11 10:59:32,BOA,Neutral,0.0
This app is not available on all android versions and some times it is not functional.,1,2024-11-08 11:41:15,BOA,Neutral,0.0
senayt Mesfin,4,2024-11-08 11:13:42,BOA,Neutral,0.0
Bad app vety bad.,1,2024-11-07 04:21:50,BOA,Negative,-0.7906
Nice,5,2024-11-06 14:24:50,BOA,Positive,0.4215
Abessnya Banke,5,2024-11-05 12:05:11,BOA,Neutral,0.0
"The most useless app, I never expected such an irrelevant app from BOA. big shame!",1,2024-11-04 08:45:20,BOA,Negative,-0.7569
Okay,5,2024-11-03 16:25:36,BOA,Positive,0.2263
Professional on banking app,5,2024-11-01 13:08:51,BOA,Neutral,0.0
Has some nice interface but always freezes or slow to load .App developers please fix this issue.,3,2024-10-27 20:37:31,BOA,Positive,0.5719
አይሰራም አስተካክሉት,5,2024-10-26 14:13:59,BOA,Neutral,0.0
Please try another because this app doesn't feet the need of this generation,1,2024-10-25 19:17:13,BOA,Positive,0.3182
Good,4,2024-10-25 14:40:10,BOA,Positive,0.4404
Fast transfer,5,2024-10-24 08:51:40,BOA,Neutral,0.0
"What's up I can't log in, what's wrong",5,2024-10-22 02:57:44,BOA,Negative,-0.4767
Amrumehamed,1,2024-10-21 13:43:38,BOA,Neutral,0.0
Good,5,2024-10-19 13:42:22,BOA,Positive,0.4404
"Nice to meet you my proud bank in Ethiopia.. I'm a member of this bank, i need to solve my problem of international receiving money for me from my online digital working service's over the world please? I'm working a lot of international money.But i can't get direct in Ethiopia because of don't knowing the legal ways of getting money in Ethiopia please can I get and direct deposit with BoA please 🙏🙏🙏?",5,2024-10-18 18:22:15,BOA,Positive,0.8717
Very good,5,2024-10-18 14:02:55,BOA,Positive,0.4927
ደደገነሐ,5,2024-10-15 07:27:29,BOA,Neutral,0.0
"Terrible Bank Experience It’s unbelievable that with all the modern technology, this bank still struggles with even basic transactions. The app constantly crashes, services are limited, and every time I try to transfer money or load Telebirr, there’s a huge delay. I have to wait 5 days for failed transactions to be refunded! Even USSD is unreliable. They’ve put me in embarrassing situations countless times, and customer care never fixes anything. I’ve switched banks, and you should too!",1,2024-10-14 05:06:39,BOA,Negative,-0.8395
A painfully slow banking app service. Please don't make it your choice!,1,2024-10-13 06:08:25,BOA,Negative,-0.3382
Good App,4,2024-10-12 14:04:14,BOA,Positive,0.4404
Best app to me,5,2024-10-11 18:16:21,BOA,Positive,0.6369
BOA,5,2024-10-11 13:31:58,BOA,Neutral,0.0
Abdulkadir,5,2024-10-11 06:28:56,BOA,Neutral,0.0
Bad,1,2024-10-10 12:17:31,BOA,Negative,-0.5423
If it is possible I would gove0 star,1,2024-10-08 13:20:37,BOA,Neutral,0.0
Nise mobile bankig,4,2024-10-05 12:39:26,BOA,Neutral,0.0
Overall good app but performance needs some improvement also sometimes when using instant other bank transfers it refuses causing to be repeated several times to transfer,4,2024-10-04 20:34:24,BOA,Positive,0.714
Ok,5,2024-10-04 14:20:43,BOA,Positive,0.296
Just make it work please🤣 this is embarrassing for a bank of your size,1,2024-10-04 08:23:06,BOA,Negative,-0.3818
Update to the simplest way it requires the developer option on and off why this is,5,2024-10-04 06:18:27,BOA,Neutral,0.0
"Stop telling me what to do with my phone, BOA. Why does your newly updated app keep asking me to disable the developer options? I’m not slowing down my phone just to use your God damn app. 🤮🤮🤮🤮",1,2024-10-04 02:55:49,BOA,Negative,-0.4215
I'm living out of country how may I download and use mobile banking? It asks me the Ethiopia phone number and I can't receive text to confirm because I'm out side the country. So please lete know if I can use while I'm outside the country. Thanks,1,2024-10-04 02:30:33,BOA,Positive,0.6997
Good,3,2024-10-03 15:17:09,BOA,Positive,0.4404
Worest app,1,2024-10-03 09:57:35,BOA,Neutral,0.0
The worest app ever,1,2024-10-03 09:54:58,BOA,Neutral,0.0
አሪፍ ነው በርቱልን,5,2024-10-02 22:53:27,BOA,Neutral,0.0
Wwwerrr,5,2024-10-02 16:16:32,BOA,Neutral,0.0
ጀማል ውቀቱ,5,2024-09-30 13:46:53,BOA,Neutral,0.0
Great For Financial company,5,2024-09-30 06:13:34,BOA,Positive,0.6249
Very easy to use,5,2024-09-30 05:48:28,BOA,Positive,0.4927
The App's crash always.. Error.....,3,2024-09-27 13:25:54,BOA,Negative,-0.4019
This app is incredibly frustrating to use. It’s filled with issues that make it difficult to navigate and complete tasks efficiently. I’ve never encountered such a poorly designed banking application before. It needs significant improvements to enhance user experience. It deserves a vey low rating.,1,2024-09-26 18:13:35,BOA,Negative,-0.2484
nice,5,2024-09-26 02:56:33,BOA,Positive,0.4215
Great UI and seamless UX. I love it!!,5,2024-09-25 18:51:19,BOA,Positive,0.8715
That's too good application but try to add more alternatives and futures or possibilitys for your customers,3,2024-09-25 18:18:13,BOA,Positive,0.2382
It's easy used to operate program and secured 👍👍,4,2024-09-25 13:00:21,BOA,Positive,0.6808
I bought a mobile card on this app but I didn't receive it and it took my money and I didn't get my money back.,1,2024-09-21 11:34:07,BOA,Neutral,0.0
Amazing,5,2024-09-19 09:07:21,BOA,Positive,0.5859
Great app with great services,5,2024-09-19 06:32:07,BOA,Positive,0.8481
Yes active user,5,2024-09-17 13:47:44,BOA,Positive,0.6597
Shameful,1,2024-09-17 13:26:12,BOA,Negative,-0.4939
The worest app ever made i would not recommende for no one,1,2024-09-16 17:05:52,BOA,Positive,0.2235
Good application,5,2024-09-16 15:08:14,BOA,Positive,0.4404
I like,5,2024-09-16 12:00:21,BOA,Positive,0.3612
Good,5,2024-09-16 10:15:56,BOA,Positive,0.4404
"How many hours should I wait after transferring money to telebirr, please do something about the transfer delay issue I need my money when ever.",1,2024-09-15 17:36:11,BOA,Neutral,0.0
"BOA is unreasonably holding and delaying transactions for more than a day, even transactions within the same bank itself. This is a huge gap that I observed in BOA mobile banking. I didn't experience this kind of challenge while having transactions in other banks' mobile banking platforms. After waiting so long, I called your customer support team and the response they gave me was ""it was the system that holds the transaction & will be released on working days"". This is not totally fair.",1,2024-09-15 05:59:12,BOA,Positive,0.4269
የእርስዎን ተሞክሮ ይግለጹ (አማራጭ),5,2024-09-14 13:37:34,BOA,Neutral,0.0
It's not working. It needs a big update. Can't you update the app quickly?,1,2024-09-14 12:09:31,BOA,Neutral,0.0
"I am Aimohon Joel , It's can be Good for a Better Conversation in Time 🙂",3,2024-09-13 23:48:46,BOA,Positive,0.7003
"Better app than most mobile apps, but why do I have to turn off developer option every time I wanna use the app?? It's annoying.",1,2024-09-13 18:50:22,BOA,Negative,-0.4515
Bes and freindly app,5,2024-09-13 04:47:02,BOA,Neutral,0.0
It doesn't work.,1,2024-09-12 09:20:37,BOA,Neutral,0.0
"It say ""The request was not successful. please check device connectivity or try again"" why? One of the bank manager told me it is because of my phone's android version which is 9.1 It is ridiculous! Disappointing",1,2024-09-11 19:39:38,BOA,Negative,-0.8758
How to download or screenshot of payment receipt...what kinda worst app ever 🤮🤮🤢,1,2024-09-11 11:19:05,BOA,Negative,-0.5868
Good,5,2024-09-10 09:30:24,BOA,Positive,0.4404
Smart technology,5,2024-09-10 06:48:06,BOA,Positive,0.4019
Yegema app tish🪨,1,2024-09-08 05:53:43,BOA,Neutral,0.0
Ok,5,2024-09-07 15:12:32,BOA,Positive,0.296
"This is not an appropriate app, i don't know how boa develops this app, i don't expect this much crazy and un confortable app form BOA, I'm soory!!!",1,2024-09-07 07:42:49,BOA,Negative,-0.5067
"Shockingly bad! Even when it decides to work, it's painfully slow and frustrating. Such a shame that it has become a stain on an extraordinary bank",1,2024-09-06 16:16:55,BOA,Negative,-0.9312
"It crashes frequently. It launches on Android 8.1 but I don't think it actually works on versions less than 10. If so, it shouldn't be available for download by such devices to begin with, like many other finance apps are not. It was so much better three months ago, upgrades should be for the better.",1,2024-09-06 07:06:12,BOA,Positive,0.915
Awesome application. But lately its crashing everytime i opened it.,4,2024-09-05 20:48:22,BOA,Positive,0.3716
እጅም በጣም ደካማ አፕ ነው ሲፈልግ ይከፍታል ሲፈልግ አይከፍትም ከአዋሽ እና ንግድ ባንክ የመሳሰሉ ባንኮች ሲወዳደር ሞባይል ባንኪንግ App እጅግ የሚያበሳጭ ነው ለውጥ ያስፈልጋችኋል,1,2024-09-05 17:52:21,BOA,Neutral,0.0
good,5,2024-09-05 05:22:58,BOA,Positive,0.4404
Fast one,3,2024-09-04 19:10:02,BOA,Neutral,0.0
Nice looking app but a terrible user experience.,1,2024-09-03 14:30:49,BOA,Negative,-0.5023
The worest MB app ever!!🙄,1,2024-09-02 11:13:33,BOA,Neutral,0.0
Very good,5,2024-09-01 16:47:47,BOA,Positive,0.4927
It is ok,5,2024-09-01 09:56:42,BOA,Positive,0.296
Plz fix the Apps ....screenshot lovation hide from glarey share botten not work😔😔,1,2024-08-30 10:05:08,BOA,Positive,0.2023
Good,5,2024-08-30 10:01:27,BOA,Positive,0.4404
Apollo's,1,2024-08-29 19:26:11,BOA,Neutral,0.0
The worst experience ever,1,2024-08-29 14:17:17,BOA,Negative,-0.6249
Hussenaliumar,5,2024-08-29 09:35:33,BOA,Neutral,0.0
Good,3,2024-08-28 13:14:12,BOA,Positive,0.4404
Hi I have problem with this App BOA mobile I don't know what is wrong with this App I did many times download but it's sam doesn't work if sam like that this app way I have to be customer with them how I know my account and checking save The book is no Not enough alone,1,2024-08-28 03:35:38,BOA,Positive,0.6072
It is not work for my device,5,2024-08-27 15:21:28,BOA,Neutral,0.0
"I'm Sick and tiered of enabling and disabling Developer Option Everytime I use this app. maybe you know it maybe you dont, fix it please it's anoying",1,2024-08-26 11:15:02,BOA,Negative,-0.8106
The worst app ever,1,2024-08-26 09:41:26,BOA,Negative,-0.6249
Good,5,2024-08-26 09:03:09,BOA,Positive,0.4404
Betanya Gebre,3,2024-08-23 18:29:23,BOA,Neutral,0.0
I dont recommand it to any one,1,2024-08-23 08:05:36,BOA,Neutral,0.0
Good,5,2024-08-22 06:00:42,BOA,Positive,0.4404
Excellent app,5,2024-08-21 10:20:16,BOA,Positive,0.5719
"The application used to work well. But after updates I'm not able to use the forgot password feature, which is blocking me from accessing it as a whole.",1,2024-08-20 09:35:21,BOA,Negative,-0.431
ትርሃስ,5,2024-08-19 15:58:10,BOA,Neutral,0.0
Gio,4,2024-08-19 10:12:51,BOA,Neutral,0.0
App isn't working,1,2024-08-18 17:48:13,BOA,Neutral,0.0
Best app,5,2024-08-18 17:19:44,BOA,Positive,0.6369
so far good but always it lugs,3,2024-08-17 16:16:57,BOA,Positive,0.2707
Don't trust this bank and its service.,1,2024-08-16 11:31:36,BOA,Negative,-0.4023
"I can not open and use the application,please help me!",5,2024-08-15 18:13:25,BOA,Positive,0.4574
Horrible,1,2024-08-14 19:31:06,BOA,Negative,-0.5423
Mostly not working 😑,1,2024-08-14 09:29:24,BOA,Neutral,0.0
Good,5,2024-08-13 17:26:12,BOA,Positive,0.4404
Awesome 👌,5,2024-08-12 11:38:07,BOA,Positive,0.6249
"Despite the enhanced technology you have, the application doesn't work properly, and it asks for the developer option to be turned off, fix that.",3,2024-08-12 10:23:20,BOA,Neutral,0.0
Thank you,3,2024-08-12 08:06:19,BOA,Positive,0.3612
Very poor app b/c highly slow to open the app,1,2024-08-12 04:56:44,BOA,Negative,-0.5256
Ok,5,2024-08-12 00:46:06,BOA,Positive,0.296
best,1,2024-08-11 23:34:06,BOA,Positive,0.6369
Best app,5,2024-08-11 19:38:09,BOA,Positive,0.6369
Wedi Tekle .,5,2024-08-11 13:13:14,BOA,Neutral,0.0
Bad app📱👎👎👎,1,2024-08-11 09:39:15,BOA,Negative,-0.5423
Dura nan fayyadaman ture amma garuu naaf hojjechaa hin jiru maaf?,5,2024-08-11 06:12:42,BOA,Neutral,0.0
Nice appp,5,2024-08-11 04:23:42,BOA,Positive,0.4215
ሰላም አቢሲኒያዎች የሞባይል ባንኪንጋችሁ ተጠቃሚ ነኝ አገልግሎቱን ስላስጀመራችሁለን እናመሰግናለን። ነገር ግን አለፎ አልፎ የነበረው የማስፈንጠሪያው በአግባቡ አለመስራት አልፎ አልፎ ወደመስራት ተቀይሯል ድሮ እንደነበራችሁ እናውቃለን ዘንድሮም ብትኖሩልን እንመርጣለን *ከዘመን አንጉደል*,3,2024-08-10 15:31:56,BOA,Neutral,0.0
Gooood app my dear,5,2024-08-09 23:59:07,BOA,Positive,0.3818
Harun tamam galanaa,3,2024-08-09 14:30:52,BOA,Neutral,0.0
"A total disaster of an app. Always offline, never works, it's embarassing. I've lost hope and taken my business to a competitor",1,2024-08-08 12:31:00,BOA,Negative,-0.6124
Gamebela,1,2024-08-08 12:07:21,BOA,Neutral,0.0
so poor app to use can't start up when open the app,1,2024-08-08 07:48:54,BOA,Negative,-0.5256
"This app takes too long time to be opened. And even it is not working simply as other banks application. Why this app does not give a digital invoice. Even, I am not able to find where the screeshot is kept after transaction. So, please the developer should fix all these.",1,2024-08-07 13:34:52,BOA,Positive,0.3804
Good job,5,2024-08-07 10:56:13,BOA,Positive,0.4404
"Worst app ever, not user friendly, even doesn't serve basic functionality correctly, takes to much time to login and navigate through the app, we expected more from this bank",1,2024-08-07 10:03:34,BOA,Negative,-0.7736
good,3,2024-08-07 08:50:31,BOA,Positive,0.4404
Good,5,2024-08-07 08:14:08,BOA,Positive,0.4404
Bad app .,1,2024-08-06 18:40:31,BOA,Negative,-0.5423
"I mean how could a big financial company like this, be this much irresponsible to release this app? You should be ashamed!",1,2024-08-06 15:12:53,BOA,Negative,-0.5848
Review,5,2024-08-06 15:00:43,BOA,Neutral,0.0
Goood,4,2024-08-06 13:21:08,BOA,Neutral,0.0
Ok,5,2024-08-06 12:33:00,BOA,Positive,0.296
👎👎👎👎👎👎👎👎👎,1,2024-08-05 21:59:16,BOA,Neutral,0.0
Is it necessary to switch off developer options every time to use mobile banking?🤔🤔😡😡😡,1,2024-08-04 10:53:44,BOA,Neutral,0.0
The previous version is better it doesn't work,1,2024-08-04 06:16:27,BOA,Positive,0.4404
"I don't know what is wrong with BOA as a bank in general. It's been going backwards since last year or so. The app is a disaster to use in every possible way. Not stable to log in and very slow to perform transactions, couldn't take a screenshot (or can't even find the pictures even using its save screenshot option). Most of the time, it fails to perform transactions and so on. Simply, it's the worst!",1,2024-08-03 20:59:13,BOA,Negative,-0.9198
ok,5,2024-08-03 19:37:02,BOA,Positive,0.296
Nice,5,2024-08-03 08:16:43,BOA,Positive,0.4215
"Take some note from CBE mobile banking app, it's the best banking app currently take some note and improve ur app . Sometimes u have to learn from the bests 🙌",1,2024-08-03 08:00:33,BOA,Positive,0.7964
Great,5,2024-08-03 07:20:06,BOA,Positive,0.6249
It's a useless app,1,2024-08-02 06:54:12,BOA,Negative,-0.4215
"It's not working as it was , so much need to improve, it was the best but not anymore",2,2024-08-01 16:04:25,BOA,Positive,0.5499
Poor network,1,2024-08-01 05:48:09,BOA,Negative,-0.4767
Not yet completely working this App. i don't know when is it will be working properly! Its Sad!!!,1,2024-07-31 20:20:53,BOA,Negative,-0.6449
The app does not open sometimes it says coonection issue which i dont have and after it opens it has bugs while using its not smooth to work with please improve it,1,2024-07-31 12:03:12,BOA,Positive,0.6369
"It's not working totally, what a useless app is it,",1,2024-07-31 10:54:39,BOA,Negative,-0.4728
"This app has become the most troubling every day. It doesn't work. I love the bank, and I hate the app",1,2024-07-31 06:01:07,BOA,Negative,-0.897
this is so disappointing app 😞,1,2024-07-30 21:37:56,BOA,Negative,-0.6269
አቢስኒያ የሁሉም ምርጫ,5,2024-07-29 14:48:26,BOA,Neutral,0.0
Ok,5,2024-07-29 07:47:11,BOA,Positive,0.296
Nays,5,2024-07-28 17:19:24,BOA,Neutral,0.0
The worst app,1,2024-07-28 15:35:54,BOA,Negative,-0.6249
it can't even open and only display error messages,1,2024-07-27 18:01:32,BOA,Negative,-0.4019
not active,1,2024-07-27 12:39:42,BOA,Negative,-0.3089
To get good quality,5,2024-07-27 06:22:10,BOA,Positive,0.4404
አይሰራም እኮ ምንድን ነው ችግሩ?,1,2024-07-26 08:36:44,BOA,Neutral,0.0
uselss app dont download,1,2024-07-26 08:36:14,BOA,Neutral,0.0
"Is this app fake i try it not working it say please try again later, unable to make transactions what is the purpose of this app . If it is not working delete it",1,2024-07-25 20:24:26,BOA,Negative,-0.2023
"This app didn't work. They have a new version (new app) but still not compatible with my Samsung S8+ , which is v.funny.",1,2024-07-25 09:35:54,BOA,Neutral,0.0
Corrupted and poor app,1,2024-07-24 15:58:27,BOA,Negative,-0.4767
Good,1,2024-07-24 08:51:19,BOA,Positive,0.4404
When I try to use the application it says 'developer setting should be off' where is the setting to off this play Still doesn't work for me,3,2024-07-24 07:27:07,BOA,Positive,0.4118
Nice,5,2024-07-24 06:54:06,BOA,Positive,0.4215
FIX YOUR Apollo!! You guys where the best 👌,1,2024-07-23 20:29:08,BOA,Positive,0.6988
Always slow and doesn't work on weekends if you are in a rush or a merchant this app is not for you,1,2024-07-23 15:53:32,BOA,Neutral,0.0
"It's very difficult to use the user, app,ones dawenload the user can't operate well , no one can help me,",1,2024-07-23 15:36:47,BOA,Neutral,-0.0049
Poor application. It turned off by itself,1,2024-07-23 13:06:20,BOA,Negative,-0.4767
Okay,5,2024-07-23 12:54:10,BOA,Positive,0.2263
Allowed,5,2024-07-23 12:41:00,BOA,Neutral,0.0
It usually crashes and the reason it gives is a problem on internet connection although the internet was fine.,1,2024-07-23 07:35:15,BOA,Negative,-0.2263
we want international mobile banking,1,2024-07-22 20:31:31,BOA,Positive,0.0772
"screenshot isn't working, Please modify it",2,2024-07-22 14:38:15,BOA,Negative,-0.2411
Naziriet measho 89160437,1,2024-07-21 21:45:21,BOA,Neutral,0.0
Ahmed Mohammed husen,3,2024-07-21 16:33:55,BOA,Neutral,0.0
Is not working both this one and apollo did u make it better pls am gonne stop using this bank because of the mobile banking,1,2024-07-19 19:15:38,BOA,Positive,0.25
I have experiance,5,2024-07-19 19:12:05,BOA,Neutral,0.0
The App is not working on Android 9.1 at all. It shows an error notification and forcefully closes the app. Must be fixed ASAP.,1,2024-07-19 15:36:11,BOA,Negative,-0.4019
Wow,5,2024-07-19 13:21:51,BOA,Positive,0.5859
Crashes very frequently is not stable overall need improvement such a huge bank needs a better app than the current one,1,2024-07-19 06:35:32,BOA,Positive,0.744
ርይርፍ,3,2024-07-19 05:11:01,BOA,Neutral,0.0
The previous application is much better than this one,1,2024-07-18 14:40:55,BOA,Positive,0.4404
"Worst app. It is wise to invest money and you can make it like CBE app. Even the incon has no image. My app has better UI than yours. So, please invest more and hire professional developer companies and improve it.",1,2024-07-18 08:45:25,BOA,Positive,0.7713
mal,5,2024-07-16 20:55:56,BOA,Neutral,0.0
It is not working at all,1,2024-07-16 17:29:37,BOA,Neutral,0.0
Excellent,5,2024-07-16 16:57:45,BOA,Positive,0.5719
The poorest mobile banking survice ever. Only error reports frequently,1,2024-07-16 13:37:32,BOA,Negative,-0.7351
Wow,5,2024-07-16 10:01:39,BOA,Positive,0.5859
😞😞😞😞,1,2024-07-15 21:13:22,BOA,Neutral,0.0
wow,5,2025-06-08 22:37:09,Dashen,Positive,0.5859
kalid,5,2025-06-07 21:04:22,Dashen,Neutral,0.0
I like this mobile banking app very much. Overall user interface and navigation is awesome. But it lacks instant response when someone deposit or withdraw money.,2,2025-06-07 07:40:29,Dashen,Positive,0.5106
love,3,2025-06-05 21:15:44,Dashen,Positive,0.6369
መቸሸጠ,5,2025-06-03 16:40:31,Dashen,Neutral,0.0
wow,5,2025-06-03 14:30:11,Dashen,Positive,0.5859
gadaa,5,2025-06-01 14:10:53,Dashen,Neutral,0.0
Massive upgrade from the Amole app.,5,2025-05-31 20:04:04,Dashen,Neutral,0.0
good,4,2025-05-31 19:39:35,Dashen,Positive,0.4404
very good for this app,5,2025-05-31 18:03:18,Dashen,Positive,0.4927
top,5,2025-05-31 17:25:21,Dashen,Positive,0.2023
this app better than Amole . but the biometric on new update doesn't work,4,2025-05-31 09:24:07,Dashen,Positive,0.2382
Wow,5,2025-05-30 08:16:47,Dashen,Positive,0.5859
good,5,2025-05-30 08:13:17,Dashen,Positive,0.4404
wow to it saff and this app,5,2025-05-30 07:11:47,Dashen,Positive,0.5859
it too slow,3,2025-05-29 10:26:30,Dashen,Neutral,0.0
ዳሽን ባንክ ይለያል,4,2025-05-28 16:34:49,Dashen,Neutral,0.0
real life changer,5,2025-05-28 09:01:56,Dashen,Neutral,0.0
👍👍👍,5,2025-05-28 08:47:32,Dashen,Neutral,0.0
good,5,2025-05-28 08:35:42,Dashen,Positive,0.4404
nice application,5,2025-05-27 11:31:31,Dashen,Positive,0.4215
good,5,2025-05-27 08:24:34,Dashen,Positive,0.4404
wow,5,2025-05-27 07:54:43,Dashen,Positive,0.5859
useless app ever loading take long,1,2025-05-27 06:19:32,Dashen,Negative,-0.4215
"Game changer app! Dashen Bank Super App is fast, secure, and easy to use. The three-click payment makes sending money super quick, and the QR code payment is perfect for cashless shopping. I also love the biometric login and easy airtime and bill payments. Everything I need is in one place. Dashen Bank has really raised the bar for digital banking in Ethiopia. Highly recommended!",5,2025-05-26 16:16:29,Dashen,Positive,0.979
very useful App,1,2025-05-26 10:10:58,Dashen,Positive,0.4927
"Simple, robust features? Yes, please! But the endless loading screen killed the fun—I couldn’t use it for days. Fix the glitch, and I’ll yeet a higher rating!",2,2025-05-26 05:21:54,Dashen,Negative,-0.6842
Wawww,5,2025-05-24 13:55:43,Dashen,Neutral,0.0
it is good but some times says duplicate transaction why?,5,2025-05-24 05:07:56,Dashen,Positive,0.2382
very Nice,5,2025-05-23 09:09:24,Dashen,Positive,0.4754
its best,5,2025-05-23 00:53:15,Dashen,Positive,0.6369
it is not as good as to the other mobile bank app.,1,2025-05-22 16:35:38,Dashen,Negative,-0.3412
"The best of best is now arrived **Empowering Your Financial Freedom** ""Experience seamless banking at your fingertips with Dashen Bank. Empowering your financial freedom, anytime, anywhere!"" **Innovation Meets Convenience** ""Dashen Bank Mobile Banking: Where innovation meets convenience. **Secure and Reliable** ""Bank with confidence",5,2025-05-22 06:42:22,Dashen,Positive,0.9628
wow,5,2025-05-20 11:32:56,Dashen,Positive,0.5859
Nothing is changed in the updated version. You have been collecting comments but where is the feed back you improved in this version. superapp is mot functioning today.,4,2025-05-20 10:22:54,Dashen,Positive,0.631
good,5,2025-05-20 06:42:35,Dashen,Positive,0.4404
its best,5,2025-05-19 06:00:24,Dashen,Positive,0.6369
The best app ever in finance sector,5,2025-05-18 19:01:50,Dashen,Positive,0.6369
Its good app than other compitators but it confuse when we transfer it needs OTP and PIN most user inter their pin instead of OTP we know the litrecy level of our society so if it is device based i dont know the needs of OTP so please try to fix,3,2025-05-18 10:32:58,Dashen,Positive,0.5554
dashen bank or dashen super app?,1,2025-05-17 13:44:29,Dashen,Positive,0.5994
wowwwe app,5,2025-05-17 08:30:07,Dashen,Neutral,0.0
"Transferring to other bank accounts is a hastle and inconvenient .Get used to seeing "" please try again """,2,2025-05-17 08:03:32,Dashen,Neutral,-0.0258
good,5,2025-05-16 18:56:27,Dashen,Positive,0.4404
always lagging,1,2025-05-16 13:30:56,Dashen,Negative,-0.2732
Amazing Application...,5,2025-05-16 08:23:47,Dashen,Positive,0.5859
Fantastic,5,2025-05-16 07:07:49,Dashen,Positive,0.5574
"Dashen bank app is very good, but sometimes it is not working well",5,2025-05-15 19:32:51,Dashen,Neutral,-0.0321
its my choice,5,2025-05-15 18:15:44,Dashen,Neutral,0.0
wow apo,5,2025-05-15 08:28:50,Dashen,Positive,0.5859
awesome app keep going,5,2025-05-14 07:10:44,Dashen,Positive,0.6249
wow,5,2025-05-14 06:44:58,Dashen,Positive,0.5859
👍,5,2025-05-14 05:07:48,Dashen,Neutral,0.0
"It grows ethiopian digital banking step ahead.All fetures in one,simple fast and convince.",5,2025-05-14 02:39:16,Dashen,Positive,0.25
Game changer,5,2025-05-13 19:12:29,Dashen,Neutral,0.0
Totally amazing,5,2025-05-13 16:46:18,Dashen,Positive,0.624
super 😎,5,2025-05-13 11:15:20,Dashen,Positive,0.5994
what a helpful app!!!!,5,2025-05-13 09:09:55,Dashen,Positive,0.6083
Good,4,2025-05-13 08:42:22,Dashen,Positive,0.4404
nice,5,2025-05-13 07:46:37,Dashen,Positive,0.4215
wow,5,2025-05-13 05:21:51,Dashen,Positive,0.5859
"To be honest, best banking and lifestyle app in Ethiopia.",5,2025-05-12 13:03:18,Dashen,Positive,0.8176
fast,5,2025-05-12 08:18:46,Dashen,Neutral,0.0
"A must have, seamless, all in one digital platform ""DB Superapp""! Keep living your motto ""Always one step ahead""",5,2025-05-12 06:36:47,Dashen,Neutral,0.0
"This App makes digital banking effortless and convenient. User-friendly interface, secure transactions, and excellent features for managing finances efficiently.",4,2025-05-10 07:01:21,Dashen,Positive,0.8316
good,5,2025-05-09 16:44:41,Dashen,Positive,0.4404
Amazing app super easy to use and best design. loved it.,5,2025-05-09 15:44:58,Dashen,Positive,0.9623
its the best ever,5,2025-05-08 21:18:26,Dashen,Positive,0.6369
nice,5,2025-05-08 08:37:34,Dashen,Positive,0.4215
excellent game changer App,5,2025-05-08 08:07:07,Dashen,Positive,0.5719
I am highly excited by using this application and it is the most favorable as well as preferrable mobile app.,5,2025-05-03 12:53:37,Dashen,Positive,0.8151
it seems me logging out within minutes,1,2025-05-03 06:43:29,Dashen,Neutral,0.0
nice app especially GUI and I have got some error when you send within dashen bank the receipter is not get SMS notification,4,2025-05-03 05:09:08,Dashen,Neutral,0.0258
yes i want dashen super open,5,2025-05-02 20:55:12,Dashen,Positive,0.7845
Best App,5,2025-05-02 07:45:22,Dashen,Positive,0.6369
faster than this version,5,2025-05-01 01:20:47,Dashen,Neutral,0.0
"Best UI mobile banking app, props to design team",5,2025-04-30 16:43:36,Dashen,Positive,0.6369
thank you,4,2025-04-30 13:28:14,Dashen,Positive,0.3612
great app,5,2025-04-30 11:55:56,Dashen,Positive,0.6249
bad.,1,2025-04-30 08:54:32,Dashen,Negative,-0.5423
